City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
276,Kyren,RU,2021-12-05 13:48:43,51.6828,102.1408,15.03,80,39,3.0
277,Cedar City,US,2021-12-05 13:49:44,37.6775,-113.0619,34.39,69,1,0.0
278,Kodiak,US,2021-12-05 13:49:44,57.79,-152.4072,24.31,93,90,4.61
279,Harper,LR,2021-12-05 13:49:44,4.375,-7.7169,84.83,69,37,6.91
280,Sao Jose Da Coroa Grande,BR,2021-12-05 13:49:44,-8.8978,-35.1478,82.45,73,37,11.79
281,Faanui,PF,2021-12-05 13:49:45,-16.4833,-151.75,80.53,69,44,13.42
282,Alofi,NU,2021-12-05 13:49:45,-19.0595,-169.9187,76.89,94,14,6.91
283,Iracoubo,GF,2021-12-05 13:49:45,5.4802,-53.2011,78.69,89,98,5.93
284,Inongo,CD,2021-12-05 13:49:45,-1.95,18.2667,77.92,75,38,4.83
285,Urumqi,CN,2021-12-05 13:49:46,43.801,87.6005,20.35,68,100,0.0
286,Petropavlovsk-Kamchatskiy,RU,2021-12-05 13:49:46,53.0452,158.6483,16.39,62,20,6.71
287,Coquimbo,CL,2021-12-05 13:49:46,-29.9533,-71.3436,58.73,88,90,5.75
288,Snasa,NO,2021-12-05 13:49:47,64.2457,12.3778,6.3,88,7,7.65
289,Port Keats,AU,2021-12-05 13:49:47,-14.25,129.55,79.93,75,98,6.51
290,Buraydah,SA,2021-12-05 13:49:47,26.326,43.975,82.85,15,8,10.11
291,Guerrero Negro,MX,2021-12-05 13:49:47,27.9769,-114.0611,60.35,89,30,11.79
292,Mangrol,IN,2021-12-05 13:49:48,21.1167,70.1167,78.76,62,66,8.63
