City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
253,Richards Bay,ZA,-28.783,32.0377,73.04,83,81,13.62,broken clouds
254,Labrea,BR,-7.2586,-64.7981,73.74,98,100,3.0,overcast clouds
255,Kandalaksha,RU,67.162,32.4123,-3.3,99,71,0.74,broken clouds
256,Pangody,RU,65.85,74.4859,-2.78,97,92,12.5,overcast clouds
257,Vanimo,PG,-2.6741,141.3028,81.9,82,100,2.59,overcast clouds
258,Chagoda,RU,59.164,35.3285,15.39,95,100,8.01,light snow
259,Iberia,US,29.9502,-91.7507,67.96,94,75,12.66,light rain
260,Nabire,ID,-3.3667,135.4833,85.35,65,100,3.18,overcast clouds
261,Severo-Kurilsk,RU,50.6789,156.125,37.78,94,69,19.28,light rain
262,Luanda,AO,-8.8368,13.2343,78.39,86,65,10.54,broken clouds
263,Monsey,US,41.1112,-74.0685,59.58,86,96,3.0,overcast clouds
264,Coos Bay,US,43.3665,-124.2179,52.0,97,90,4.61,light rain
265,High Level,CA,58.5169,-117.136,-16.49,76,75,0.0,broken clouds
266,Tual,ID,-5.6667,132.75,83.52,75,100,5.1,overcast clouds
267,Rawson,AR,-43.3002,-65.1023,83.17,20,0,27.92,clear sky
268,Gijon,ES,43.5357,-5.6615,54.84,94,93,4.0,overcast clouds
269,Kutum,SD,14.2,24.6667,62.55,20,2,2.98,clear sky
270,Chumikan,RU,54.7183,135.315,-1.88,86,11,12.84,few clouds
271,Phan Thiet,VN,10.9333,108.1,72.09,83,87,4.29,overcast clouds
272,Egvekinot,RU,66.3167,-179.1667,1.9,91,100,6.04,overcast clouds
273,Domodossola,IT,46.1165,8.2931,41.74,53,57,6.55,broken clouds
274,Huarmey,PE,-10.0681,-78.1522,67.86,84,96,7.94,overcast clouds
275,Uyskoye,RU,54.3775,60.0047,5.31,93,5,2.64,clear sky
276,Chernushka,RU,56.5072,56.0766,-4.7,98,8,3.0,clear sky
